tag,status,note
AFG,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
AGO,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ALB,claims_added,See historical_claims.csv
ARE,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ARG,claims_added,See historical_claims.csv
ARM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
AUS,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
AUT,claims_added,See historical_claims.csv
AZE,claims_added,See historical_claims.csv
BBD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BDI,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BEL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BEN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BFA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BGD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BGR,claims_added,See historical_claims.csv
BHR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BHS,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BIH,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BLR,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BLZ,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BOL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BRN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BT1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BWA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
BZ1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CAN,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CBD,claims_added,See historical_claims.csv
CH1,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CHL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CHN,claims_added,See historical_claims.csv
CIV,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CMO,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CMR,claims_added,See historical_claims.csv
COD,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
COG,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
COL,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
COS,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CPV,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CUB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CYP,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
CZE,claims_added,See historical_claims.csv
DEU,claims_added,See historical_claims.csv
DJI,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
DMA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
DNK,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
DOM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
DZA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ECU,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
EGY,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ERT,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ESP,claims_added,See historical_claims.csv
EST,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
ETH,claims_added,See historical_claims.csv
FIN,claims_added,See historical_claims.csv
FJI,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
FRA,claims_added,See historical_claims.csv
FSM,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
GAB,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
GEO,claims_added,See historical_claims.csv
GHA,reviewed_no_mappable_claim,No qualifying dispute mappable without materially overstating it on the vanilla province map
