level,year,adm_title,dip_title,mil_title
0,1900,Industrial Administration,Steamship Networks,Industrial Warfare
1,1920,Mass Bureaucracy,Radio Communications,Mechanized Warfare
2,1940,Wartime Administration,Global Wartime Logistics,Total War Mobilization
3,1960,Post-War Reconstruction,Jet Age Diplomacy,Nuclear Deterrence
4,1970,Computerized Records,Satellite Communications,Electronic Warfare
5,1980,Personal Computing,Containerized Trade,Precision-Guided Weapons
6,1985,Market Liberalization,Global Financial Networks,Professional Volunteer Forces
7,1990,Digital Administration,Digital Telecommunications,Post-Cold War Doctrine
8,1995,Internet Governance,Commercial Internet,Joint Operations
9,2000,Information Age Administration,Global Communications,Precision Warfare
10,2005,Electronic Government,Integrated Logistics,Counterinsurgency Doctrine
11,2010,Financial Regulation,Satellite Navigation,Network-Centric Warfare
12,2015,Cloud Administration,Digital Commerce,Integrated Air Support
13,2020,Data-Driven Government,Global Data Networks,Drone Warfare
14,2025,Resilient Supply Chains,Automated Ports,Loitering Munitions
15,2030,Automated Administration,Autonomous Shipping,Autonomous Logistics
16,2035,Predictive Governance,Orbital Logistics,Integrated Battlefield Systems
17,2040,Quantum Administration,Quantum Communications,Hypersonic Weapons
18,2045,Advanced Robotics,Hypersonic Transport,Quantum-Secure Command
19,2050,Global Resource Planning,Global Smart Trade,Robotic Combat Support
20,2055,Climate Adaptation,Climate Diplomacy,Directed-Energy Defense
21,2060,Synthetic Materials,Deep-Sea Logistics,Autonomous Combat Systems
22,2065,Planetary Infrastructure,Near-Space Commerce,Orbital Reconnaissance
23,2070,Universal Digital Identity,Automated Global Markets,Exoskeleton Infantry
24,2075,Post-Scarcity Logistics,Lunar Trade Routes,Space-Based Defense
25,2080,Orbital Administration,Fusion-Powered Shipping,Fusion-Powered Logistics
26,2085,Fusion Economy,Orbital Shipyards,Orbital Strike Systems
27,2090,Autonomous Public Services,Interplanetary Commerce,Lunar Warfare Doctrine
28,2095,Interplanetary Governance,Mars Trade Network,Interplanetary Operations
29,2100,Space-Based Industry,Solar Trade System,Mars Defense Systems
30,2150,Lunar Administration,Lunar Economy,Space Marines
31,2200,Martian Administration,Martian Commerce,Autonomous Space Fleets
32,2250,Solar System Governance,Interplanetary Exchange,Solar Defense Network
