id,category,title,description,picture,option_a,option_a_effects,option_a_ai,option_b,option_b_effects,option_b_ai
1,government,Cabinet Scandal,"Documents have connected senior officials to questionable contracts and the public expects a response.",DIPLOMACY_eventPicture,Open a full investigation,adm=-15|corruption=-0.5|modifier=eu4_2k_accountable_government:1095,70,Contain the damage,prestige=-5|corruption=0.5|modifier=eu4_2k_government_pressure:1095,30
2,government,Anti-Corruption Inquiry,"Independent investigators request wider authority to examine public procurement.",BIG_BOOK_eventPicture,Empower the investigators,income=-0.10|corruption=-0.75|modifier=eu4_2k_accountable_government:1095,65,Limit the scope,adm=15|prestige=-5|modifier=eu4_2k_government_pressure:1095,35
3,government,Constitutional Court Ruling,"A major court ruling limits an important part of the government's program.",BIG_BOOK_eventPicture,Respect the ruling,adm=-15|prestige=5|modifier=eu4_2k_accountable_government:730,70,Challenge the court,adm=20|stability=-1|modifier=eu4_2k_government_pressure:1095,30
4,government,Public Sector Strike,"Public employees have begun coordinated strikes over pay and working conditions.",CITY_VIEW_eventPicture,Negotiate a settlement,income=-0.15|modifier=eu4_2k_social_compromise:1095,65,Hold firm,prestige=5|modifier=eu4_2k_social_tension:1095,35
5,government,Regional Autonomy Dispute,"Regional leaders demand greater control over taxation and public services.",DIPLOMACY_eventPicture,Offer a compromise,dip=-15|modifier=eu4_2k_social_compromise:1095,60,Reassert central authority,adm=15|modifier=eu4_2k_government_pressure:1095,40
6,economy,Market Boom,"Investment and consumer confidence are rising faster than expected.",ECONOMY_eventPicture,Manage the expansion,dip=10|inflation=-0.25|modifier=eu4_2k_economic_confidence:1095,60,Let the market run,income=0.15|inflation=0.5|modifier=eu4_2k_economic_confidence:730,40
7,economy,Economic Recession,"Falling demand and weak investment are beginning to reduce national output.",ECONOMY_eventPicture,Launch a stimulus,income=-0.25|adm=-10|modifier=eu4_2k_economic_adjustment:1095,65,Adopt austerity,income=0.10|stability=-1|modifier=eu4_2k_government_pressure:1095,35
8,economy,Housing Bubble,"Property prices and household borrowing have reached worrying levels.",CITY_VIEW_eventPicture,Tighten regulation,adm=-10|inflation=-0.5|modifier=eu4_2k_economic_adjustment:730,65,Encourage construction,income=0.15|inflation=0.5|modifier=eu4_2k_infrastructure_upgrade:1095,35
9,economy,Energy Price Shock,"A sudden disruption in energy markets is raising costs across the economy.",TRADEGOODS_eventPicture,Subsidize consumers,income=-0.20|modifier=eu4_2k_economic_adjustment:730,60,Allow prices to adjust,prestige=5|modifier=eu4_2k_social_tension:730,40
10,economy,Major Foreign Investment,"A foreign corporation proposes a large investment in strategic infrastructure.",ECONOMY_eventPicture,Approve the investment,income=0.20|corruption=0.25|modifier=eu4_2k_economic_confidence:1095,60,Conduct a security review,dip=-10|prestige=5|modifier=eu4_2k_digital_security:1095,40
11,society,National Protest Movement,"Large peaceful demonstrations demand changes to government policy.",CITY_VIEW_eventPicture,Open a public dialogue,dip=-15|modifier=eu4_2k_social_compromise:1095,65,Restore order quickly,mil=-10|prestige=5|modifier=eu4_2k_social_tension:1095,35
12,society,National Labor Dispute,"Negotiations between employers and organized labor have broken down.",ECONOMY_eventPicture,Mediate a compromise,adm=-10|income=-0.10|modifier=eu4_2k_social_compromise:1095,65,Back the employers,income=0.10|modifier=eu4_2k_social_tension:1095,35
13,society,Migration Debate,"Migration has become the focus of a heated national political debate.",DIPLOMACY_eventPicture,Fund integration programs,income=-0.10|dip=-10|modifier=eu4_2k_social_compromise:1095,60,Tighten restrictions,prestige=5|modifier=eu4_2k_diplomatic_friction:1095,40
14,society,Demographic Pressure,"An aging population is placing growing pressure on public services and the labor market.",CITY_VIEW_eventPicture,Expand family support,income=-0.15|modifier=eu4_2k_social_compromise:1825,60,Attract skilled workers,dip=-15|modifier=eu4_2k_innovation_program:1095,40
15,society,Media Controversy,"A dispute over press access and government transparency dominates public debate.",BIG_BOOK_eventPicture,Release the records,prestige=-5|corruption=-0.25|modifier=eu4_2k_accountable_government:730,65,Restrict publication,adm=10|modifier=eu4_2k_government_pressure:1095,35
16,infrastructure,National Grid Failure,"A major electrical failure has disrupted industry and public services.",CITY_VIEW_eventPicture,Modernize the grid,income=-0.25|adm=-10|modifier=eu4_2k_infrastructure_upgrade:1825,65,Apply temporary repairs,income=-0.05|modifier=eu4_2k_deferred_maintenance:1095,35
17,infrastructure,Metropolitan Transit Project,"Local authorities request national support for a major public transport project.",CITY_VIEW_eventPicture,Fund the project,income=-0.20|adm=-10|modifier=eu4_2k_infrastructure_upgrade:1825,60,Postpone construction,prestige=-5|modifier=eu4_2k_deferred_maintenance:1095,40
18,infrastructure,Industrial Accident,"A serious industrial accident has exposed weaknesses in national safety standards.",TRADEGOODS_eventPicture,Strengthen safety rules,income=-0.10|corruption=-0.25|modifier=eu4_2k_economic_adjustment:1095,70,Protect industrial output,income=0.10|prestige=-5|modifier=eu4_2k_social_tension:1095,30
19,infrastructure,Broadband Expansion,"A national communications program could connect underserved communities and businesses.",UNIVERSITY_eventPicture,Build a national network,income=-0.20|adm=-10|modifier=eu4_2k_innovation_program:1825,65,Invite private investment,dip=-10|modifier=eu4_2k_economic_confidence:1095,35
20,infrastructure,Water Supply Shortage,"Reservoir levels and aging water infrastructure threaten restrictions in several regions.",CITY_VIEW_eventPicture,Invest in water security,income=-0.20|modifier=eu4_2k_environmental_resilience:1825,65,Impose emergency rationing,adm=10|modifier=eu4_2k_social_tension:730,35
21,technology,Technology Startup Boom,"A new generation of technology companies is attracting capital and skilled workers.",UNIVERSITY_eventPicture,Provide research grants,income=-0.15|adm=-10|modifier=eu4_2k_innovation_program:1825,60,Let private capital lead,income=0.10|modifier=eu4_2k_economic_confidence:1095,40
22,technology,Major Cyberattack,"Government systems and important businesses have been disrupted by a coordinated cyberattack.",DIPLOMACY_eventPicture,Harden national networks,income=-0.15|adm=-15|modifier=eu4_2k_digital_security:1825,70,Conceal the breach,prestige=-10|corruption=0.25|modifier=eu4_2k_digital_risk:1095,30
23,technology,Research Breakthrough,"A publicly funded laboratory has announced a promising technological breakthrough.",UNIVERSITY_eventPicture,Prioritize civilian applications,adm=25|modifier=eu4_2k_innovation_program:1095,60,Prioritize defense applications,mil=25|modifier=eu4_2k_military_reform:1095,40
24,technology,Brain Drain,"Universities and advanced industries report that skilled professionals are leaving the country.",UNIVERSITY_eventPicture,Fund retention programs,income=-0.15|adm=-10|modifier=eu4_2k_innovation_program:1825,65,Accept labor mobility,dip=15|prestige=-5|modifier=eu4_2k_digital_risk:1095,35
25,technology,Automation Dispute,"Rapid automation promises higher output but workers fear widespread displacement.",TRADEGOODS_eventPicture,Finance worker retraining,income=-0.15|adm=-10|modifier=eu4_2k_social_compromise:1825,65,Accelerate automation,income=0.15|modifier=eu4_2k_social_tension:1095,35
26,military,Procurement Scandal,"Auditors have discovered irregularities in a major defense contract.",BATTLE_eventPicture,Audit the entire program,mil=-15|corruption=-0.5|modifier=eu4_2k_military_reform:1095,65,Keep procurement on schedule,army_tradition=2|corruption=0.5|modifier=eu4_2k_government_pressure:1095,35
27,military,National Readiness Exercise,"Military planners propose a large exercise to test national readiness.",BATTLE_eventPicture,Conduct the full exercise,income=-0.15|mil=-10|army_tradition=3|modifier=eu4_2k_military_readiness:1095,60,Run a command exercise,mil=10|army_tradition=1,40
28,military,Recruitment Shortage,"The armed forces are struggling to meet recruitment and retention targets.",BATTLE_eventPicture,Increase military pay,income=-0.15|modifier=eu4_2k_military_readiness:1095,65,Lower recruitment standards,mil=15|modifier=eu4_2k_military_strain:1095,35
29,military,Border Incident,"An armed confrontation near the border has created pressure for an immediate response.",BATTLE_eventPicture,De-escalate the situation,dip=-10|prestige=-5|modifier=eu4_2k_diplomatic_engagement:730,65,Order a forward deployment,mil=-10|prestige=10|modifier=eu4_2k_military_readiness:730,35
30,military,Veterans Policy,"Veterans' organizations request expanded medical and financial support.",BATTLE_eventPicture,Expand veterans' benefits,income=-0.15|prestige=5|modifier=eu4_2k_social_compromise:1095,65,Limit the new program,income=0.05|prestige=-5|modifier=eu4_2k_government_pressure:730,35
31,diplomacy,International Trade Dispute,"A disagreement over market access threatens an important commercial relationship.",DIPLOMACY_eventPicture,Negotiate a compromise,dip=-10|modifier=eu4_2k_diplomatic_engagement:1095,65,Retaliate with restrictions,prestige=5|modifier=eu4_2k_diplomatic_friction:1095,35
32,diplomacy,Diplomatic Leak,"Leaked communications have embarrassed the government and angered foreign partners.",DIPLOMACY_eventPicture,Issue an apology,prestige=-5|dip=-10|modifier=eu4_2k_diplomatic_engagement:730,65,Deny responsibility,prestige=5|modifier=eu4_2k_diplomatic_friction:1095,35
33,diplomacy,Foreign Aid Request,"A friendly government requests emergency financial and technical assistance.",DIPLOMACY_eventPicture,Provide assistance,income=-0.15|prestige=10|modifier=eu4_2k_diplomatic_engagement:1095,55,Prioritize domestic needs,income=0.05|prestige=-5,45
34,diplomacy,Sanctions Pressure,"Foreign partners are pressing the government to participate in economic sanctions.",DIPLOMACY_eventPicture,Join the sanctions,dip=10|modifier=eu4_2k_diplomatic_engagement:730,60,Protect national commerce,prestige=5|modifier=eu4_2k_diplomatic_friction:1095,40
