event_id,tag,date,title,description,historical_leader,historical_birth,historical_party,historical_adm,historical_dip,historical_mil,historical_option,alternate_leader,alternate_birth,alternate_party,alternate_adm,alternate_dip,alternate_mil,alternate_option,source,verification_notes
1,CRO,2000.1.27,The Croatian Parliamentary Transition,The parliamentary election has opened the way for a new coalition government and a peaceful transfer of executive authority.,Ivica Racan,1944.2.24,Social Democratic Party,4,4,2,Entrust Ivica Racan with the government,Zlatko Matesa,1949.6.22,Croatian Democratic Union,3,3,2,Keep the Croatian Democratic Union in office,manual:croatia-government-2000,Historical transition date; alternate path is counterfactual.
2,HAB,2000.2.4,The Austrian Coalition Negotiations,Coalition negotiations will determine whether Austria changes political direction or preserves the outgoing governing arrangement.,Wolfgang Schussel,1945.6.7,Austrian People's Party,4,4,2,Form the Schussel government,Viktor Klima,1947.6.4,Social Democratic Party,4,4,2,Preserve Klima's coalition,manual:austria-government-2000,Historical transition date; alternate path is counterfactual.
3,JAP,2000.4.5,The Succession to Obuchi,The governing party must select a successor after Prime Minister Obuchi can no longer carry out his duties.,Yoshiro Mori,1937.7.14,Liberal Democratic Party,3,3,2,Select Yoshiro Mori,Koichi Kato,1939.6.17,Liberal Democratic Party,4,4,2,Back Koichi Kato,manual:japan-succession-2000,Historical succession with plausible party alternative.
4,ITA,2000.4.25,A New Italian Cabinet,The collapse of the previous cabinet requires parliament to assemble another governing majority.,Giuliano Amato,1938.5.13,The Olive Tree,4,4,2,Form the Amato cabinet,Massimo D'Alema,1949.4.20,Democrats of the Left,4,4,2,Keep D'Alema in office,manual:italy-government-2000,Historical cabinet transition; alternate path is continuity.
5,RUS,2000.5.7,The Putin Presidency,Vladimir Putin has won the presidential election and now seeks a mandate to consolidate the Russian state.,Vladimir Putin,1952.10.7,Unity,5,4,4,Consolidate the Putin presidency,Grigory Yavlinsky,1952.4.10,Yabloko,5,5,2,Turn toward liberal pluralism,https://en.kremlin.ru/catalog/persons/54/biography,Kremlin biography confirms election and inauguration dates.
6,FRM,2000.5.20,Taiwan's Democratic Transfer,The presidential election has produced the first transfer of power between parties in Taiwan's democratic era.,Chen Shui-bian,1950.10.12,Democratic Progressive Party,4,4,3,Inaugurate Chen Shui-bian,Lien Chan,1936.8.27,Kuomintang,4,4,2,Keep the Kuomintang in power,manual:taiwan-election-2000,Historical transition date; alternate path reflects the principal opponent.
7,YUG,2000.10.7,The Yugoslav Presidential Crisis,Mass protests and a disputed election have brought the political order created by Slobodan Milosevic to a breaking point.,Vojislav Kostunica,1944.3.24,Democratic Opposition of Serbia,4,4,3,Recognize Kostunica's victory,Slobodan Milosevic,1941.8.20,Socialist Party of Serbia,4,3,4,Milosevic holds onto power,https://www.ohr.int/ohr_archive/ohr-rtrs-news-summary-7-october-2000-4/,OHR record confirms Kostunica took the presidential oath on 7 October.
8,USA,2001.1.20,The 2000 Presidential Election,The closely contested election will decide the direction of the United States at the beginning of the new century.,George W. Bush,1946.7.6,Republican Party,4,3,4,Inaugurate George W. Bush,Al Gore,1948.3.31,Democratic Party,5,5,3,Al Gore prevails,https://www.presidency.ucsb.edu/documents/george-w-bush-event-timeline,Presidency Project timeline confirms the election and inauguration.
9,ISR,2001.3.7,The Israeli Prime-Ministerial Election,The electorate must choose its response to the escalating security and political crisis.,Ariel Sharon,1928.2.26,Likud,3,3,5,Form the Sharon government,Ehud Barak,1942.2.12,One Israel,4,4,5,Return Ehud Barak,manual:israel-election-2001,Historical government formation date; alternate path reflects the incumbent.
10,JAP,2001.4.26,The Koizumi Reform Mandate,The Liberal Democratic Party must decide whether to embrace structural reform or return to its traditional leadership.,Junichiro Koizumi,1942.1.8,Liberal Democratic Party,5,4,3,Choose Junichiro Koizumi,Ryutaro Hashimoto,1937.7.29,Liberal Democratic Party,4,4,3,Restore Ryutaro Hashimoto,manual:japan-ldp-election-2001,Historical party leadership transition with principal rival.
